Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,65d62814
14,Aday,es ESP,DFMF,Girona,es La Liga,30,1987,10,8,645,7.2,0,0.28,0,0,0,0.28,0,0,0.28,0.28,0,0.28,0.03,0.03,0.11,0.14,0.03,0.12,0.15,0.03,0.15,Matches,5890cef1
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,22.2,0,0,0,0,0,0.32,0.05,0,0,0,0,0,0.04,0.04,0,0.04,0.04,0,0.04,0.04,0.04,Matches,16714a62
16,Claud Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,5,3,270,3,0.33,0,0.33,0,0,0.33,0,0.33,0,0.33,0.33,0.33,0.17,0.17,0.03,0.2,0.17,0.03,0.2,0.17,0.2,Matches,ce5b170a
17,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0.38,0.38,0.01,0.38,0.39,0.01,0.39,Matches,26777636
18,Ali Adnan Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.11,0.17,0.08,0.08,0.16,0.08,0.16,Matches,6050480
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,20,10,943,10.5,0.19,0,0,0.19,0.19,0.48,0,0.19,0,0.19,0,0,0.32,0.17,0.04,0.22,0.32,0.04,0.36,0.17,0.21,Matches,2.93E+06
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,26.5,0.04,0.11,0.04,0,0,0.23,0.08,0.04,0.11,0.15,0.04,0.15,0.03,0.03,0.07,0.1,0.04,0.07,0.1,0.04,0.1,Matches,cacadf4f
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0.02,0.03,0.01,0.02,0.02,0.01,0.02,Matches,355c883a
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7,0.26,0,0.26,0,0,0.34,0.09,0.26,0,0.26,0.26,0.26,0.13,0.13,0.01,0.13,0.13,0,0.13,0.13,0.13,Matches,288e1e13
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,31,2459,27.3,0.77,0.29,0.7,0.07,0.07,0.15,0,0.77,0.29,1.06,0.7,0.99,0.71,0.66,0.2,0.86,0.71,0.2,0.91,0.66,0.86,Matches,4d034881
24,Ruben Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1,0.04,0.14,0.04,0,0,0.28,0,0.04,0.14,0.18,0.04,0.18,0.02,0.02,0.11,0.14,0.03,0.11,0.14,0.03,0.14,Matches,3dd738a1
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,0.26,0,0,0,0,0,0,0.13,0.13,0,0.16,0.13,0.01,0.15,0.13,0.15,Matches,18dc8533
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,0,0.17,0.16,0.01,0.17,0.16,0.17,Matches,fe0b8f0e
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,12,1075,11.9,0,0.08,0,0,0,0.17,0,0,0.08,0.08,0,0.08,0.05,0.05,0.02,0.07,0.05,0.01,0.07,0.05,0.07,Matches,48b28bfd
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0.9,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,54507986
29,Ola Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,30,22,2160,24,0.04,0.13,0.04,0,0,0.21,0.04,0.04,0.12,0.17,0.04,0.17,0.08,0.08,0.09,0.17,0.08,0.09,0.17,0.08,0.17,Matches,246d153b
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.04,0.07,0.02,0.04,0.06,0.02,0.06,Matches,c46fa34c
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,13,12,1073,11.9,0,0.17,0,0,0,0.17,0,0,0.17,0.17,0,0.17,0.03,0.03,0.08,0.12,0.03,0.09,0.11,0.03,0.11,Matches,c46fa34c
32,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,3,0,57,0.6,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9b398aea
33,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,25,18,1531,17,0.53,0.06,0.53,0,0,0.29,0,0.53,0.06,0.59,0.53,0.59,0.34,0.34,0.06,0.4,0.34,0.06,0.4,0.34,0.4,Matches,462475ed
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,24.5,0.04,0,0.04,0,0,0.04,0,0.04,0,0.04,0.04,0.04,0.03,0.03,0.02,0.05,0.03,0.01,0.05,0.03,0.05,Matches,89ac64a6
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,12,1023,11.4,0,0,0,0,0,0.18,0,0,0,0,0,0,0.03,0.03,0.03,0.06,0.03,0.03,0.06,0.03,0.06,Matches,f2a68b97
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,38,3411,37.9,0.11,0,0.11,0,0,0.08,0,0.11,0,0.11,0.11,0.11,0.08,0.08,0.02,0.1,0.08,0.02,0.1,0.08,0.1,Matches,eaeca114
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,2,180,2,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.05,0.05,0,0.03,0.03,0,0.03,Matches,06efa9dc
38,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,16,5,525,5.8,0,0.17,0,0,0,0,0,0,0.17,0.17,0,0.17,0.16,0.16,0.05,0.21,0.16,0.05,0.21,0.16,0.21,Matches,debc2f28
39,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,4,4,313,3.5,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6ec6fde0
40,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,8,5,499,5.5,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6ec6fde0
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,31,29,2530,28.1,0.11,0.11,0.11,0,0,0.14,0,0.11,0.11,0.21,0.11,0.21,0.08,0.08,0.17,0.25,0.08,0.17,0.25,0.08,0.25,Matches,05439de2
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,25,23,1895,21.1,0.05,0,0.05,0,0,0.19,0,0.05,0,0.05,0.05,0.05,0.03,0.03,0.09,0.11,0.03,0.08,0.11,0.03,0.11,Matches,5.31E+70
43,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,27,11,1265,14.1,0.64,0.21,0.64,0,0,0.07,0,0.64,0.21,0.85,0.64,0.85,0.56,0.56,0.13,0.7,0.56,0.13,0.7,0.56,0.7,Matches,834d0be5
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,36,32,2991,33.2,0.06,0.24,0.06,0,0,0.18,0,0.06,0.24,0.3,0.06,0.3,0.05,0.05,0.16,0.21,0.05,0.16,0.21,0.05,0.21,Matches,4.60E+197
45,Luis Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,27,25,1990,22.1,0.18,0.23,0.14,0.05,0.05,0.23,0.05,0.18,0.23,0.41,0.14,0.36,0.21,0.18,0.28,0.45,0.21,0.28,0.49,0.17,0.45,Matches,5294a83f
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,20,19,1713,19,0.05,0,0.05,0,0,0.21,0,0.05,0,0.05,0.05,0.05,0.01,0.01,0.05,0.06,0.01,0.05,0.06,0.01,0.06,Matches,4bd414c1
47,Miiko Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,22,19,1660,18.4,0.05,0.16,0.05,0,0,0.16,0.05,0.05,0.16,0.22,0.05,0.22,0.02,0.02,0.08,0.1,0.02,0.08,0.1,0.02,0.1,Matches,d459281d
48,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,27,18,1625,18.1,0.11,0.11,0.11,0,0,0.17,0,0.11,0.11,0.22,0.11,0.22,0.06,0.06,0.13,0.19,0.06,0.13,0.2,0.06,0.2,Matches,b827d5b3
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,26,11,1211,13.5,1.33,0,1.26,0.07,0.07,0,0,1.34,0,1.34,1.26,1.26,0.68,0.62,0.19,0.81,0.68,0.18,0.87,0.63,0.81,Matches,a7a9d95a
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,25,20,1868,20.8,0.05,0.05,0.05,0,0,0.43,0,0.05,0.05,0.1,0.05,0.1,0.04,0.04,0.01,0.06,0.04,0.02,0.06,0.04,0.06,Matches,ba71d071
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,30,26,2408,26.8,0.07,0.22,0.07,0,0,0.19,0,0.07,0.22,0.3,0.07,0.3,0.08,0.08,0.1,0.19,0.08,0.11,0.19,0.08,0.19,Matches,77e84962
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,34,34,2976,33.1,0.09,0.06,0.09,0,0.03,0.39,0,0.09,0.06,0.15,0.09,0.15,0.1,0.08,0.04,0.12,0.1,0.04,0.14,0.08,0.12,Matches,036bba5f
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,33,2922,32.5,0,0,0,0,0,0.09,0,0,0,0,0,0,0.05,0.05,0.02,0.07,0.05,0.02,0.07,0.05,0.07,Matches,f7d50789
54,Álex Alegría,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.19,0.31,0.15,0.17,0.32,0.15,0.32,Matches,46166b49
55,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0f4c0bad
56,Iván Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,4,2,146,1.6,0,0,0,0,0,1.25,0.63,0,0,0,0,0,0.06,0.06,0.06,0.13,0.04,0.09,0.13,0.04,0.13,Matches,3d7e48ce
57,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,17,6,637,7.1,0.28,0,0.28,0,0,0.28,0,0.28,0,0.28,0.28,0.28,0.21,0.21,0.1,0.3,0.21,0.09,0.3,0.21,0.3,Matches,6c811eb7
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8fa8f8d2
59,Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3e1858af
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,27,2462,27.4,0.04,0.44,0.04,0,0,0.11,0,0.04,0.44,0.48,0.04,0.48,0.05,0.05,0.24,0.29,0.05,0.24,0.29,0.05,0.29,Matches,cd1acf9d
61,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,27,11,1252,13.9,0.36,0,0.36,0,0,0.07,0,0.36,0,0.36,0.36,0.36,0.38,0.38,0.09,0.47,0.38,0.09,0.47,0.38,0.47,Matches,bdedd861
62,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7a2e46a8
63,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,13,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8870154f
64,Allan,br BRA,MF,Napoli,it Serie A,27,1991,33,28,2616,29.1,0.03,0.1,0.03,0,0,0.34,0,0.03,0.1,0.14,0.03,0.14,0.04,0.04,0.11,0.15,0.04,0.11,0.15,0.04,0.15,Matches,cc700722
65,Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,4,2,176,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0.05,0.05,0,0.05,0.05,0.01,0.06,0.05,0.06,Matches,b15e93aa
66,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,1996,25,22,1825,20.3,0.25,0.15,0.25,0,0,0.2,0,0.25,0.15,0.39,0.25,0.39,0.3,0.3,0.13,0.43,0.3,0.13,0.43,0.3,0.43,Matches,cea4ee8f
67,Miguel Almirón,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0.07,0.25,0.18,0.08,0.25,0.17,0.25,Matches,862a1c15
68,Júnior Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,9,6,536,6,0,0,0,0,0,0.33,0,0,0,0,0,0,0.07,0.07,0.03,0.1,0.06,0.04,0.1,0.06,0.1,Matches,b18a3023
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,31,2759,30.7,0.07,0.13,0.07,0,0,0.2,0,0.07,0.13,0.2,0.07,0.2,0.09,0.09,0.1,0.2,0.09,0.1,0.2,0.09,0.2,Matches,f4290206
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,11,6,571,6.3,0.16,0,0.16,0,0,0,0,0.16,0,0.16,0.16,0.16,0.05,0.05,0.06,0.11,0.04,0.07,0.11,0.04,0.11,Matches,0a63446f
71,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,13,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8875b8c9
72,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,19,12,1069,11.9,0,0,0,0,0,0.08,0,0,0,0,0,0,0.02,0.02,0,0.03,0.02,0,0.02,0.02,0.02,Matches,88d91621
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,30,30,2613,29,0,0,0,0,0,0.34,0,0,0,0,0,0,0.05,0.03,0,0.04,0.05,0,0.05,0.04,0.04,Matches,3ecc11d8
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,33,33,2922,32.5,0.12,0.03,0.12,0,0,0.28,0.03,0.12,0.03,0.15,0.12,0.15,0.07,0.07,0.04,0.11,0.07,0.04,0.11,0.07,0.11,Matches,585a73a8
75,Dani Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,23,19,1622,18,0.06,0.39,0.06,0,0,0.22,0,0.06,0.39,0.44,0.06,0.44,0.12,0.12,0.39,0.51,0.12,0.39,0.51,0.12,0.51,Matches,c9e99e49
76,Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.78,0,0.78,0.78,0.78,Matches,d73a07e2
77,Ibrahim Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,17,7,762,8.5,0,0,0,0,0,0.24,0,0,0,0,0,0,0.09,0.09,0.01,0.09,0.09,0.01,0.1,0.09,0.1,Matches,9260926b
78,Romain Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,32,30,2522,28,0,0,0,0,0,0.11,0.04,0,0,0,0,0,0.02,0.02,0.03,0.05,0.02,0.03,0.05,0.02,0.05,Matches,d7bf3d19
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,7,641,7.1,0,0,0,0,0,0.28,0,0,0,0,0,0,0.04,0.04,0.01,0.06,0.04,0.02,0.06,0.04,0.06,Matches,1a4ef233
80,Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,31,31,2763,30.7,0,0,0,0,0,0.29,0,0,0,0,0,0,0.02,0.02,0,0.03,0.02,0,0.03,0.02,0.03,Matches,d70a2141
81,Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,15,13,1002,11.1,0.09,0.18,0.09,0,0,0.36,0,0.09,0.18,0.27,0.09,0.27,0.14,0.14,0.06,0.21,0.14,0.07,0.21,0.14,0.21,Matches,f3b1d9a2
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,24,2177,24.2,0,0.08,0,0,0,0.29,0.08,0,0.08,0.08,0,0.08,0.02,0.02,0.08,0.11,0.02,0.08,0.11,0.02,0.11,Matches,22721b88
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,32,2880,32,0,0.03,0,0,0,0.19,0,0,0.03,0.03,0,0.03,0.02,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.04,Matches,bcc81786
84,Nadiem Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,13,10,754,8.4,0.36,0.12,0.36,0,0,0.12,0,0.36,0.12,0.48,0.36,0.48,0.26,0.26,0.2,0.46,0.26,0.21,0.47,0.26,0.47,Matches,555d5edd
85,Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,aeed036d
86,Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,77128f7e
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,32,2880,32,0,0.03,0,0,0,0.22,0,0,0.03,0.03,0,0.03,0.03,0.03,0.02,0.05,0.03,0.02,0.05,0.03,0.05,Matches,e34fc66d
88,Felipe Anderson,br BRA,MFFW,West Ham,eng Premier League,25,1993,36,36,3043,33.8,0.27,0.12,0.27,0,0,0.09,0,0.27,0.12,0.38,0.27,0.38,0.14,0.14,0.2,0.35,0.14,0.2,0.35,0.14,0.35,Matches,9f1893b9
89,Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,23,8,881,9.8,0.31,0,0.31,0,0,0.51,0,0.31,0,0.31,0.31,0.31,0.2,0.2,0.01,0.2,0.2,0.01,0.21,0.2,0.21,Matches,dc008610
90,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,30,28,2495,27.7,0.11,0.04,0.11,0,0,0.29,0.04,0.11,0.04,0.14,0.11,0.14,0.12,0.12,0.04,0.17,0.12,0.05,0.17,0.12,0.17,Matches,ef9c1c95
91,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,3,1,106,1.2,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,13d820de
92,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,8,7,646,7.2,0,0,0,0,0,0.28,0,0,0,0,0,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0.03,Matches,13d820de
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,872cd68c
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,011d8c56
95,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,35,34,3028,33.6,0.03,0.03,0.03,0,0,0.3,0,0.03,0.03,0.06,0.03,0.06,0.02,0.02,0.11,0.13,0.02,0.11,0.13,0.02,0.13,Matches,3024e383
96,Cristian Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,24,23,1807,20.1,0.15,0.1,0.15,0,0,0.15,0,0.15,0.1,0.25,0.15,0.25,0.07,0.07,0.12,0.19,0.07,0.12,0.19,0.07,0.19,Matches,bbafc0c4
97,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,35,22,2133,23.7,0.21,0,0.17,0.04,0.08,0,0,0.21,0,0.21,0.17,0.17,0.28,0.22,0.06,0.28,0.28,0.06,0.34,0.22,0.28,Matches,43a2e16c
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,34,3060,34,0.03,0,0.03,0,0,0.12,0,0.03,0,0.03,0.03,0.03,0.04,0.04,0.01,0.04,0.04,0.01,0.04,0.04,0.04,Matches,5e66fa06
99,Luca Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,13,10,755,8.4,0,0.12,0,0,0,0.12,0,0,0.12,0.12,0,0.12,0.1,0.1,0.02,0.12,0.09,0.03,0.12,0.09,0.12,Matches,40f0ed6c
100,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,0830a4f9
101,Michail Antonio,jm JAM,FWMF,West Ham,eng Premier League,28,1990,33,22,2103,23.4,0.26,0.17,0.26,0,0,0.13,0,0.26,0.17,0.43,0.26,0.43,0.3,0.3,0.15,0.45,0.3,0.14,0.45,0.3,0.45,Matches,ac05f970
102,Antoñito,es ESP,DFMF,Valladolid,es La Liga,30,1987,30,18,1863,20.7,0.1,0.05,0.1,0,0,0.24,0,0.1,0.05,0.14,0.1,0.14,0.05,0.05,0.09,0.14,0.05,0.09,0.14,0.05,0.14,Matches,dbe519cf
103,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,31,1987,28,25,2181,24.2,0.04,0.12,0.04,0,0,0.21,0,0.04,0.12,0.17,0.04,0.17,0.04,0.04,0.11,0.15,0.04,0.11,0.15,0.04,0.15,Matches,3e4f735d
104,Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,19,12,1081,12,0.08,0,0.08,0,0,0.5,0,0.08,0,0.08,0.08,0.08,0.23,0.23,0.01,0.23,0.22,0.01,0.23,0.22,0.23,Matches,c93231dc
105,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,15,13,1025,11.4,0,0,0,0,0,0.09,0,0,0,0,0,0,0.04,0.04,0.11,0.15,0.04,0.12,0.15,0.04,0.15,Matches,c311243f
106,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,37,35,3061,34,0.21,0.21,0.21,0,0,0.06,0,0.21,0.21,0.41,0.21,0.41,0.22,0.22,0.1,0.32,0.22,0.1,0.32,0.22,0.32,Matches,a5db0bec
107,Emmanuel Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.43,0.43,0,0.43,Matches,a230ebcc
108,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,33,32,2676,29.7,0.03,0.07,0.03,0,0,0.27,0,0.03,0.07,0.1,0.03,0.1,0.05,0.05,0.05,0.1,0.05,0.05,0.1,0.05,0.1,Matches,58afe001
109,Guilherme Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,9,8,629,7,0,0,0,0,0,0.43,0,0,0,0,0,0,0.03,0.03,0.01,0.04,0.03,0.02,0.04,0.03,0.04,Matches,2b15a82a
